"id","name","type1","type2","hp","attack","defense","special_attack","special_defense","speed","sprite"
1,"bulbasaur","grass","poison",45,49,49,65,65,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png"
2,"ivysaur","grass","poison",60,62,63,80,80,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png"
3,"venusaur","grass","poison",80,82,83,100,100,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png"
4,"charmander","fire",NA,39,52,43,60,50,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png"
5,"charmeleon","fire",NA,58,64,58,80,65,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png"
6,"charizard","fire","flying",78,84,78,109,85,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png"
7,"squirtle","water",NA,44,48,65,50,64,43,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png"
8,"wartortle","water",NA,59,63,80,65,80,58,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png"
9,"blastoise","water",NA,79,83,100,85,105,78,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png"
10,"caterpie","bug",NA,45,30,35,20,20,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png"
11,"metapod","bug",NA,50,20,55,25,25,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png"
12,"butterfree","bug","flying",60,45,50,90,80,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png"
13,"weedle","bug","poison",40,35,30,20,20,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png"
14,"kakuna","bug","poison",45,25,50,25,25,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png"
15,"beedrill","bug","poison",65,90,40,45,80,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png"
16,"pidgey","normal","flying",40,45,40,35,35,56,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png"
17,"pidgeotto","normal","flying",63,60,55,50,50,71,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png"
18,"pidgeot","normal","flying",83,80,75,70,70,101,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png"
19,"rattata","normal",NA,30,56,35,25,35,72,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png"
20,"raticate","normal",NA,55,81,60,50,70,97,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png"
21,"spearow","normal","flying",40,60,30,31,31,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png"
22,"fearow","normal","flying",65,90,65,61,61,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png"
23,"ekans","poison",NA,35,60,44,40,54,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png"
24,"arbok","poison",NA,60,95,69,65,79,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png"
25,"pikachu","electric",NA,35,55,40,50,50,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png"
26,"raichu","electric",NA,60,90,55,90,80,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png"
27,"sandshrew","ground",NA,50,75,85,20,30,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png"
28,"sandslash","ground",NA,75,100,110,45,55,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png"
29,"nidoran-f","poison",NA,55,47,52,40,40,41,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png"
30,"nidorina","poison",NA,70,62,67,55,55,56,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png"
31,"nidoqueen","poison","ground",90,92,87,75,85,76,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png"
32,"nidoran-m","poison",NA,46,57,40,40,40,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png"
33,"nidorino","poison",NA,61,72,57,55,55,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png"
34,"nidoking","poison","ground",81,102,77,85,75,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png"
35,"clefairy","fairy",NA,70,45,48,60,65,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png"
36,"clefable","fairy",NA,95,70,73,95,90,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png"
37,"vulpix","fire",NA,38,41,40,50,65,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png"
38,"ninetales","fire",NA,73,76,75,81,100,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png"
39,"jigglypuff","normal","fairy",115,45,20,45,25,20,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png"
40,"wigglytuff","normal","fairy",140,70,45,85,50,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png"
41,"zubat","poison","flying",40,45,35,30,40,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png"
42,"golbat","poison","flying",75,80,70,65,75,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png"
43,"oddish","grass","poison",45,50,55,75,65,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png"
44,"gloom","grass","poison",60,65,70,85,75,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png"
45,"vileplume","grass","poison",75,80,85,110,90,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png"
46,"paras","bug","grass",35,70,55,45,55,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png"
47,"parasect","bug","grass",60,95,80,60,80,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png"
48,"venonat","bug","poison",60,55,50,40,55,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png"
49,"venomoth","bug","poison",70,65,60,90,75,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png"
50,"diglett","ground",NA,10,55,25,35,45,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png"
51,"dugtrio","ground",NA,35,100,50,50,70,120,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png"
52,"meowth","normal",NA,40,45,35,40,40,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png"
53,"persian","normal",NA,65,70,60,65,65,115,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png"
54,"psyduck","water",NA,50,52,48,65,50,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png"
55,"golduck","water",NA,80,82,78,95,80,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png"
56,"mankey","fighting",NA,40,80,35,35,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png"
57,"primeape","fighting",NA,65,105,60,60,70,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png"
58,"growlithe","fire",NA,55,70,45,70,50,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png"
59,"arcanine","fire",NA,90,110,80,100,80,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png"
60,"poliwag","water",NA,40,50,40,40,40,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png"
61,"poliwhirl","water",NA,65,65,65,50,50,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png"
62,"poliwrath","water","fighting",90,95,95,70,90,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png"
63,"abra","psychic",NA,25,20,15,105,55,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png"
64,"kadabra","psychic",NA,40,35,30,120,70,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png"
65,"alakazam","psychic",NA,55,50,45,135,95,120,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png"
66,"machop","fighting",NA,70,80,50,35,35,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png"
67,"machoke","fighting",NA,80,100,70,50,60,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png"
68,"machamp","fighting",NA,90,130,80,65,85,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png"
69,"bellsprout","grass","poison",50,75,35,70,30,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png"
70,"weepinbell","grass","poison",65,90,50,85,45,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png"
71,"victreebel","grass","poison",80,105,65,100,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png"
72,"tentacool","water","poison",40,40,35,50,100,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png"
73,"tentacruel","water","poison",80,70,65,80,120,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png"
74,"geodude","rock","ground",40,80,100,30,30,20,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png"
75,"graveler","rock","ground",55,95,115,45,45,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png"
76,"golem","rock","ground",80,120,130,55,65,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png"
77,"ponyta","fire",NA,50,85,55,65,65,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png"
78,"rapidash","fire",NA,65,100,70,80,80,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png"
